from_key,from_code,from_name,to_key,to_db,to_code,to_name,amount,unit,comment
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050,MSFSC Gate A diverted prepared scrap (CA; SSP1VLLO_2050),"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'df837b06cfee4e15bff08e9db6fbd88b')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,df837b06cfee4e15bff08e9db6fbd88b,"market for hazardous waste, for underground deposit",-0.006600000197067857,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050,MSFSC Gate A diverted prepared scrap (CA; SSP1VLLO_2050),"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '203c6475092048889054041da18a05b7')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,203c6475092048889054041da18a05b7,"market for inert waste, for final disposal",-0.016039999900385737,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050,MSFSC Gate A diverted prepared scrap (CA; SSP1VLLO_2050),"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'd196dbafc43c4dbea8754ec7c4f878c4')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,d196dbafc43c4dbea8754ec7c4f878c4,"market for iron scrap, unsorted",-0.034000000450760126,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050,MSFSC Gate A diverted prepared scrap (CA; SSP1VLLO_2050),"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'e809e37a785244ccbc76c73b84894b43')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,e809e37a785244ccbc76c73b84894b43,market for municipal solid waste,-3.361492062481375e-07,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050,MSFSC Gate A diverted prepared scrap (CA; SSP1VLLO_2050),"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'fab3e1a7961e4964a51d1c9ee4930f9b')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,fab3e1a7961e4964a51d1c9ee4930f9b,market for municipal solid waste,-7.104495693965873e-06,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050,MSFSC Gate A diverted prepared scrap (CA; SSP1VLLO_2050),"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'c625bbefc1dd41f89c7c4d3e204b383c')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,c625bbefc1dd41f89c7c4d3e204b383c,market for municipal solid waste,-0.0015971550601534545,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050,MSFSC Gate A diverted prepared scrap (CA; SSP1VLLO_2050),"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '77e145a23e1c43e1833181cd52e9d2c9')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,77e145a23e1c43e1833181cd52e9d2c9,market for municipal solid waste,-7.55027151910781e-08,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050,MSFSC Gate A diverted prepared scrap (CA; SSP1VLLO_2050),"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '159707a03acb4c75862970bd84eb9d43')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,159707a03acb4c75862970bd84eb9d43,market for municipal solid waste,-2.3522405356857234e-07,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050,MSFSC Gate A diverted prepared scrap (CA; SSP1VLLO_2050),"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'cd3beb150f6143ceae7e039d3adde6f4')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,cd3beb150f6143ceae7e039d3adde6f4,market for municipal solid waste,-1.706568220072313e-07,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050,MSFSC Gate A diverted prepared scrap (CA; SSP1VLLO_2050),"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'd3636095253242c98da1c672192da024')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,d3636095253242c98da1c672192da024,market for municipal solid waste,-2.092108815077154e-06,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050,MSFSC Gate A diverted prepared scrap (CA; SSP1VLLO_2050),"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'd2241297611b4187833f554e17e3911f')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,d2241297611b4187833f554e17e3911f,market for municipal solid waste,-2.830834944234084e-06,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050,MSFSC Gate A diverted prepared scrap (CA; SSP1VLLO_2050),"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '35fa8222a7f44dd9819b23bf094f598c')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,35fa8222a7f44dd9819b23bf094f598c,market for scrap copper,-0.11500000022351742,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050,MSFSC Gate A diverted prepared scrap (CA; SSP1VLLO_2050),"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '8614ecd3b3a64df8a007beaf003e8f08')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,8614ecd3b3a64df8a007beaf003e8f08,market for waste mineral oil,-0.0012500000593718141,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050,MSFSC Gate A diverted prepared scrap (CA; SSP1VLLO_2050),"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'b5d4e14062034f12b4f5349c02ff0e3c')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,b5d4e14062034f12b4f5349c02ff0e3c,"market for waste rubber, unspecified",-0.046999999321997166,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_degrease_CA_SSP1VLLO_2050')",MSFSC_degrease_CA_SSP1VLLO_2050,MSFSC Degrease (CA; SSP1VLLO_2050),"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '088188c51f254b6b89238e3bb87e81a0')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,088188c51f254b6b89238e3bb87e81a0,"market for wastewater, average",-2.0589638309487784e-05,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_degrease_CA_SSP1VLLO_2050')",MSFSC_degrease_CA_SSP1VLLO_2050,MSFSC Degrease (CA; SSP1VLLO_2050),"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '088188c51f254b6b89238e3bb87e81a0')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,088188c51f254b6b89238e3bb87e81a0,"market for wastewater, average",-0.005782987387234345,,
